"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 03 20:04:09 UTC 2022","Tue May 03 20:04:14 UTC 2022","5120","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message[Browser: Chrome]",""
"skipped","Tue May 03 20:04:11 UTC 2022","Tue May 03 20:04:16 UTC 2022","4527","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket[Browser: Chrome]",""
"broken","Tue May 03 20:04:09 UTC 2022","Tue May 03 20:04:14 UTC 2022","5142","","test_product_page","","","","test_guest_can_add_product_to_basket[Browser: MicrosoftEdge]",""
"skipped","Tue May 03 20:05:10 UTC 2022","Tue May 03 20:05:12 UTC 2022","1769","","test_product_page","","","","test_guest_cant_see_success_message_after_adding_product_to_basket[Browser: Safari]",""
"skipped","Tue May 03 20:05:15 UTC 2022","Tue May 03 20:05:18 UTC 2022","3417","","test_product_page","","","","test_message_disappeared_after_adding_product_to_basket[Browser: Safari]",""
"skipped","Tue May 03 20:04:11 UTC 2022","Tue May 03 20:04:16 UTC 2022","5792","","test_product_page","","","","test_message_disappeared_after_adding_product_to_basket[Browser: MicrosoftEdge]",""
"passed","Tue May 03 20:04:20 UTC 2022","Tue May 03 20:04:28 UTC 2022","8429","","test_product_page","","","","test_guest_cant_see_product_in_basket_opened_from_product_page[Browser: MicrosoftEdge]",""
"passed","Tue May 03 20:05:05 UTC 2022","Tue May 03 20:05:08 UTC 2022","2446","","test_main_page","","","","test_login_page_inputs_present[Browser: Safari]",""
"passed","Tue May 03 20:03:53 UTC 2022","Tue May 03 20:04:01 UTC 2022","7272","","test_main_page","","","","test_guest_cant_see_product_in_basket_opened_from_main_page[Browser: Chrome]",""
"passed","Tue May 03 20:04:57 UTC 2022","Tue May 03 20:05:02 UTC 2022","5526","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message[Browser: Firefox]",""
"passed","Tue May 03 20:04:08 UTC 2022","Tue May 03 20:04:09 UTC 2022","1389","","test_main_page","TestLoginFromMainPage","","","test_guest_should_see_login_link[Browser: MicrosoftEdge]",""
"passed","Tue May 03 20:04:17 UTC 2022","Tue May 03 20:04:22 UTC 2022","4525","","test_product_page","","","","test_guest_can_go_to_login_page_from_product_page[Browser: MicrosoftEdge]",""
"skipped","Tue May 03 20:05:25 UTC 2022","Tue May 03 20:05:33 UTC 2022","8095","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket[Browser: Safari]",""
"passed","Tue May 03 20:03:57 UTC 2022","Tue May 03 20:04:03 UTC 2022","5321","","test_product_page","","","","test_guest_cant_see_success_message[Browser: Chrome]",""
"skipped","Tue May 03 20:04:02 UTC 2022","Tue May 03 20:04:04 UTC 2022","1995","","test_product_page","","","","test_guest_cant_see_success_message_after_adding_product_to_basket[Browser: Chrome]",""
"passed","Tue May 03 20:03:53 UTC 2022","Tue May 03 20:03:55 UTC 2022","2100","","test_main_page","TestLoginFromMainPage","","","test_guest_should_see_login_link[Browser: Chrome]",""
"broken","Tue May 03 20:04:56 UTC 2022","Tue May 03 20:05:04 UTC 2022","7773","","test_product_page","","","","test_guest_can_add_product_to_basket[Browser: Firefox]",""
"broken","Tue May 03 20:05:16 UTC 2022","Tue May 03 20:05:24 UTC 2022","7958","","test_product_page","","","","test_guest_can_add_product_to_basket[Browser: Safari]",""
"skipped","Tue May 03 20:05:07 UTC 2022","Tue May 03 20:05:10 UTC 2022","3736","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket[Browser: Firefox]",""
"passed","Tue May 03 20:03:53 UTC 2022","Tue May 03 20:03:56 UTC 2022","2728","","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page[Browser: Chrome]",""
